id,name,description,createdAt,updatedAt
clg1234567890,Robes,Robes remaniées et personnalisées,2024-03-19T00:00:00.000Z,2024-03-19T00:00:00.000Z
clg1234567891,Vestes,Vestes et blazers upcyclés,2024-03-19T00:00:00.000Z,2024-03-19T00:00:00.000Z
clg1234567892,Pantalons,Pantalons et jupes remaniés,2024-03-19T00:00:00.000Z,2024-03-19T00:00:00.000Z
clg1234567893,Tops,Tops et chemises upcyclés,2024-03-19T00:00:00.000Z,2024-03-19T00:00:00.000Z
clg1234567894,Accessoires,Accessoires et bijoux faits main,2024-03-19T00:00:00.000Z,2024-03-19T00:00:00.000Z
clg1234567895,Jupes,Jupes et shorts remaniés,2024-03-19T00:00:00.000Z,2024-03-19T00:00:00.000Z
clg1234567896,Sweats,Sweats et hoodies upcyclés,2024-03-19T00:00:00.000Z,2024-03-19T00:00:00.000Z
clg1234567897,Chemises,Chemises et blouses personnalisées,2024-03-19T00:00:00.000Z,2024-03-19T00:00:00.000Z
clg1234567898,Bijoux,Bijoux et accessoires faits main,2024-03-19T00:00:00.000Z,2024-03-19T00:00:00.000Z
clg1234567899,Sacs,Sacs et pochettes upcyclés,2024-03-19T00:00:00.000Z,2024-03-19T00:00:00.000Z
clg1234567900,Chaussures,Chaussures et bottes remaniées,2024-03-19T00:00:00.000Z,2024-03-19T00:00:00.000Z
clg1234567901,Écharpes,Écharpes et foulards faits main,2024-03-19T00:00:00.000Z,2024-03-19T00:00:00.000Z
clg1234567902,Chapeaux,Chapeaux et bonnets upcyclés,2024-03-19T00:00:00.000Z,2024-03-19T00:00:00.000Z
clg1234567903,Gants,Gants et mitaines faits main,2024-03-19T00:00:00.000Z,2024-03-19T00:00:00.000Z
clg1234567904,Ceintures,Ceintures et accessoires en cuir,2024-03-19T00:00:00.000Z,2024-03-19T00:00:00.000Z 
